[2016-05-12 13:29:14] [INFO ]  
[2016-05-12 13:29:14] [INFO ] FINCH               + [!] Java Finch Syntactic Engine
[2016-05-12 13:29:14] [INFO ] FINCH               |  + Java-type analysis activated
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\SENSITIVE_COOKIE_IN_HTTPS_SESSION_WITHOUT_SECURE_ATTRIBUTE.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.SetStaticInNonStaticChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.StringConversionWithConstructorChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UnnotifiedObjectChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UnreasedLockChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UseOfHardcodedCryptographicKeyChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\USE_OF_HARDCODED_CRYPTOGRAPHIC_KEY.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UseOfInnerClassContainingSensitiveDataChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UseOfInsufficientRandomValuesChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\USE_OF_INSUFFICIENT_RANDOM_VALUES.xml
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UseOfSocketsChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UseOnceSameVariableWithinExpressionChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UseStrictfpClassWithMaxValueChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UseStrictfpForDivisionChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.UsingMessedLoopIncrementersChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.VirtualInCtorChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.WeakCryptographicHashHardcodedSaltChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.WeakEncryptionInadequateRsaPaddingChecker] loaded successfully
[2016-05-12 13:29:15] [DEBUG] CHECKER_LOADER      |  + Checker [com.fasoo.javafinch.syn.checker.basic.WeakEncryptionInsufficientKeySizeChecker] loaded successfully
[2016-05-12 13:29:15] [ERROR] CHECKER_OPTION      |  + Unable to read the option file: C:\scalaProjects\testPOI\sparrow\option_files\checker_option\WEAK_ENCRYPTION_INSUFFICIENT_KEY_SIZE.xml
